date,source,destination,distance_km,congestion_index,time_of_day,weather,day_of_week,festival,actual_travel_time_min,road_type
29-12-2022,Panvel,Dombivli,13.6,0.72,05:00,Cloudy,Thursday,,37.9,urban
12-10-2023,Goregaon,Airoli,23.18,0.88,03:40,Rain,Thursday,,187.9,congested
24-07-2024,Thane,Mohammad Ali Road,46.77,0.65,10:28,Rain,Wednesday,,87.6,freeway
12-02-2024,Powai,Panvel,40.66,1,09:44,Cloudy,Monday,,508,congested
05-06-2024,Sion,Juhu,11.74,0.94,16:31,Heavy Rain,Wednesday,,176.1,congested
01-11-2024,Goregaon,Dadar,19.62,0.49,16:58,Clear,Friday,Diwali,30.2,freeway
12-09-2022,Panvel,Lalbaug,37.42,0.66,08:14,Rain,Monday,,90.6,freeway
13-06-2022,CST,Colaba,6.12,0.94,05:59,Cloudy,Monday,,60.2,congested
02-05-2022,Lalbaug,Byculla,1.02,0.95,21:25,Clear,Monday,Eid,8.6,congested
09-04-2023,Dadar,Powai,18.08,0.97,07:34,Cloudy,Sunday,,157.7,congested
18-06-2023,Kurla,Matunga,6.59,0.92,09:13,Rain,Sunday,,36.9,urban
08-03-2023,Byculla,Panvel,34.7,0.86,08:34,Clear,Wednesday,Holi,126.9,urban
27-10-2024,Byculla,Bhandup,25.3,0.31,00:08,Clear,Sunday,,25,freeway
17-06-2023,Mulund,Bhandup,4.52,0.98,01:53,Heavy Rain,Saturday,,33.5,urban
21-04-2023,Fort,Kalyan,68.64,0.82,01:28,Clear,Friday,Eid,220.5,urban
31-12-2022,Dombivli,Andheri,35.95,0.86,02:25,Rain,Saturday,,150.4,urban
06-04-2022,Malad,Belapur,29.94,0.92,17:02,Clear,Wednesday,,288.6,congested
15-08-2024,Fort,Dadar,11.21,0.96,04:18,Heavy Rain,Thursday,Independence Day,77.5,urban
26-08-2024,Western Express Highway,Powai,13.07,0.82,00:30,Rain,Monday,Janmashtami,55,urban
06-09-2022,Bandra,Malad,18.77,0.8,16:18,Rain,Tuesday,,67.3,urban
29-09-2022,Bhandup,CST,38.88,0.93,10:43,Rain,Thursday,,583.2,congested
15-01-2022,Sion,Colaba,18.09,0.91,20:54,Cloudy,Saturday,,81.4,urban
28-10-2024,Kurla,Western Express Highway,4.91,0.82,13:34,Clear,Monday,,16.4,urban
11-03-2024,Mohammad Ali Road,Bandra,17.31,0.91,03:21,Rain,Monday,Ramadan Evenings,111.8,urban
22-01-2022,Bandra,Dombivli,40.73,0.76,21:23,Clear,Saturday,,113.2,urban
02-04-2022,Byculla,Colaba,12.1,1,18:45,Heavy Rain,Saturday,Gudi Padwa,73.9,urban
26-10-2022,Powai,Vashi,14.73,0.91,13:00,Clear,Wednesday,Navratri,109.3,congested
01-08-2023,Western Express Highway,Dombivli,37.46,0.93,20:19,Heavy Rain,Tuesday,,231.1,urban
29-10-2024,Sion,Matunga,3.38,0.88,12:10,Clear,Tuesday,,28.2,congested
07-12-2024,Byculla,Dadar,2.89,0.81,21:09,Clear,Saturday,,8.2,urban
09-03-2024,Airoli,Crawford Market,31.62,0.98,14:37,Clear,Saturday,,231.4,congested
25-03-2024,Powai,Vashi,14.76,0.35,15:44,Cloudy,Monday,,17.1,freeway
23-03-2023,Malad,Colaba,37.47,0.85,10:28,Clear,Thursday,Ramadan Evenings,153.9,urban
03-04-2022,Fort,Mulund,33.48,0.62,09:21,Cloudy,Sunday,Ramadan Evenings,59.3,freeway
02-08-2024,Fort,Girgaon,2.97,0.7,12:36,Clear,Friday,,8.4,urban
25-12-2024,Mulund,Malad,15.15,0.85,02:05,Rain,Wednesday,Christmas/NewYear,57.2,urban
16-12-2022,Powai,Vashi,16.37,0.77,05:12,Clear,Friday,,46.5,urban
17-01-2022,Bhandup,Dombivli,19,0.97,20:56,Cloudy,Monday,,231.2,congested
26-02-2022,Bandra Kurla Complex,Powai,14.89,0.72,13:19,Clear,Saturday,,43.9,urban
02-04-2022,Malad,Crawford Market,28.46,0.95,09:31,Cloudy,Saturday,Gudi Padwa,342,congested
18-04-2023,Juhu,Nerul,28.95,0.78,09:25,Clear,Tuesday,,117.1,urban
07-01-2024,Airoli,Goregaon,20.38,0.8,21:01,Clear,Sunday,,67.2,urban
02-09-2022,Bandra Kurla Complex,Vashi,21.73,0.92,23:44,Clear,Friday,,166.3,congested
22-03-2023,Belapur,Borivali,31.87,0.59,18:32,Clear,Wednesday,Gudi Padwa,50.6,freeway
11-04-2022,Kalyan,Nerul,31.78,0.29,22:42,Clear,Monday,,34.9,freeway
06-06-2023,Lalbaug,Ghatkopar,14.16,0.95,19:26,Heavy Rain,Tuesday,,150.2,urban
14-11-2024,Lalbaug,Vashi,29.03,0.81,21:33,Clear,Thursday,,92.1,urban
03-10-2024,Vashi,Colaba,40.58,0.76,04:21,Clear,Thursday,Navratri,126.5,urban
15-08-2023,Bhandup,Sion,22.05,0.76,15:48,Cloudy,Tuesday,Independence Day,66.6,urban
02-05-2022,Kalyan,Mulund,21.49,0.82,23:02,Clear,Monday,Eid,79.6,urban
01-11-2024,Bandra,Kurla,5.14,0.33,22:24,Clear,Friday,Diwali,5.7,freeway
13-07-2022,CST,Byculla,9.38,0.85,20:26,Rain,Wednesday,,49.8,urban
09-05-2023,Matunga,Lalbaug,5.03,0.82,02:41,Clear,Tuesday,,15.3,urban
30-07-2024,Mulund,Thane,8.14,1,10:10,Rain,Tuesday,,122.1,congested
01-01-2023,Kurla,Mohammad Ali Road,16.06,0.84,22:47,Cloudy,Sunday,,52.8,urban
18-03-2022,Juhu,Kurla,8.7,0.9,23:10,Clear,Friday,Holi,42,urban
20-08-2022,Ghatkopar,Airoli,20.07,0.83,22:35,Rain,Saturday,,80.7,urban
12-09-2022,Byculla,Ghatkopar,14.02,1,15:56,Rain,Monday,,161.4,congested
21-08-2022,Belapur,Mulund,21.67,0.88,04:49,Rain,Sunday,,83.6,urban
24-10-2022,Panvel,Nerul,17.34,0.92,04:01,Clear,Monday,Diwali,140.3,congested
20-12-2024,Juhu,Vashi,26.28,0.38,12:17,Cloudy,Friday,,29.7,freeway
18-08-2022,Byculla,Juhu,17.1,0.8,15:54,Rain,Thursday,Janmashtami,59.7,urban
10-12-2022,Dadar,Airoli,30.58,0.36,14:46,Cloudy,Saturday,,33.5,freeway
01-09-2024,Airoli,Western Express Highway,26.35,0.88,22:30,Rain,Sunday,,124.7,urban
05-06-2024,Chembur,Ghatkopar,2.27,0.67,10:23,Rain,Wednesday,,4.4,freeway
19-09-2023,Bandra,Dombivli,38.76,0.55,16:48,Heavy Rain,Tuesday,Ganesh Chaturthi,64.7,freeway
10-06-2024,Mohammad Ali Road,Crawford Market,2.69,0.91,12:29,Rain,Monday,,12.7,urban
16-04-2024,Dombivli,Bhandup,20.48,0.96,11:40,Cloudy,Tuesday,,160.5,congested
28-08-2023,Colaba,Sion,21.25,0.94,04:49,Heavy Rain,Monday,,175.6,urban
04-12-2023,Andheri,Crawford Market,25.88,0.88,13:01,Fog,Monday,,108.2,urban
07-09-2024,Goregaon,Malad,2.25,0.3,00:17,Cloudy,Saturday,Ganesh Chaturthi,2.5,freeway
07-12-2024,Juhu,Worli,17.71,0.81,03:47,Rain,Saturday,,74,urban
26-10-2022,Borivali,Western Express Highway,25.92,0.88,21:30,Storm,Wednesday,Navratri,65.7,freeway
07-06-2024,Matunga,Thane,37.98,0.28,22:00,Cloudy,Friday,,36.7,freeway
29-05-2024,Fort,Mohammad Ali Road,4.27,0.3,15:53,Cloudy,Wednesday,,4.6,freeway
04-02-2023,Goregaon,Panvel,52.25,0.46,03:13,Rain,Saturday,,76.3,freeway
26-04-2022,Dombivli,Matunga,39.05,0.46,18:08,Clear,Tuesday,,48.3,freeway
06-09-2023,Vashi,Bandra Kurla Complex,20.48,1,17:11,Rain,Wednesday,Janmashtami,295.5,congested
09-09-2022,Thane,Worli,45.96,0.82,23:30,Rain,Friday,,150.8,urban
21-03-2022,Chembur,Lalbaug,15.77,0.95,21:45,Clear,Monday,,126.8,congested
13-04-2023,Western Express Highway,Airoli,29.38,0.24,16:54,Clear,Thursday,,27.9,freeway
15-08-2023,Goregaon,Juhu,8.19,1,04:33,Storm,Tuesday,Independence Day,87.7,congested
11-11-2023,Panvel,Matunga,40.37,0.82,17:26,Clear,Saturday,,209.6,urban
29-01-2024,Dadar,Mulund,24.22,0.89,18:29,Clear,Monday,,123.1,urban
22-03-2023,Kurla,Bandra,5.66,0.82,05:55,Rain,Wednesday,Gudi Padwa,23.2,urban
15-01-2023,Crawford Market,Colaba,8.46,0.76,03:54,Clear,Sunday,,24.3,urban
22-03-2023,Dombivli,Byculla,41.64,0.37,04:05,Clear,Wednesday,Gudi Padwa,45.1,freeway
22-03-2023,Byculla,Powai,17.43,0.81,14:55,Cloudy,Wednesday,Gudi Padwa,50.4,urban
19-09-2024,Panvel,Ghatkopar,36.62,0.81,10:25,Cloudy,Thursday,,166.5,urban
16-05-2024,Matunga,Girgaon,11.25,0.94,23:19,Cloudy,Thursday,,84.4,congested
25-12-2024,Dombivli,Ghatkopar,24.32,0.94,03:52,Heavy Rain,Wednesday,Christmas/NewYear,93.3,urban
24-06-2024,Sion,Juhu,12.39,0.91,23:41,Rain,Monday,,156.6,congested
23-09-2024,Eastern Freeway Start,Girgaon,21.64,0.73,04:12,Heavy Rain,Monday,,53.5,freeway
04-01-2024,Goregaon,Malad,2.28,0.8,02:29,Rain,Thursday,,8.3,urban
15-10-2023,Belapur,Fort,30.17,0.32,22:34,Clear,Sunday,Navratri,31.1,freeway
05-04-2023,Colaba,Bandra Kurla Complex,20.12,0.73,04:53,Cloudy,Wednesday,,62.8,urban
03-10-2024,Chembur,Bandra,7.83,0.86,12:09,Heavy Rain,Thursday,Navratri,31.1,urban
12-04-2023,Bandra,Marine Lines,18.1,0.84,11:58,Rain,Wednesday,,68.1,urban
02-08-2022,Thane,Bandra,29.91,0.52,17:20,Clear,Tuesday,,45.4,freeway
24-09-2024,Bandra Kurla Complex,Matunga,5.2,0.99,10:04,Clear,Tuesday,,54.8,congested
11-01-2024,Bhandup,Worli,28.48,1,17:51,Clear,Thursday,,248.4,urban
10-03-2022,Lalbaug,Nerul,29.05,0.42,19:17,Cloudy,Thursday,,34.2,freeway
20-11-2023,Panvel,Worli,42.96,0.46,10:27,Clear,Monday,,59.7,freeway
18-01-2022,Bandra,Crawford Market,12.52,0.99,22:47,Rain,Tuesday,,143.5,congested
26-10-2022,Dadar,Andheri,13.39,0.89,13:06,Clear,Wednesday,,108.5,congested
23-07-2023,Sion,Byculla,6.6,0.86,15:28,Rain,Sunday,,27.2,urban
28-02-2023,Panvel,Borivali,51.41,0.39,05:12,Fog,Tuesday,,56.5,freeway
23-12-2024,Crawford Market,Byculla,4.94,0.85,09:42,Clear,Monday,,23.5,urban
24-07-2023,Vashi,Girgaon,35.5,0.74,15:43,Cloudy,Monday,,118.7,urban
25-12-2023,Bandra,Mohammad Ali Road,16.33,0.98,10:39,Cloudy,Monday,Christmas/NewYear,244.9,congested
12-11-2023,CST,Kalyan,61.23,0.41,06:58,Storm,Sunday,Diwali,67,freeway
18-07-2022,Lalbaug,Marine Lines,7.45,1,17:05,Cloudy,Monday,,97.1,congested
14-12-2023,Airoli,Dadar,28.07,1,10:09,Rain,Thursday,,590.4,congested
19-10-2024,Bandra Kurla Complex,Vashi,25.26,0.51,09:15,Clear,Saturday,,40,freeway
26-10-2022,Chembur,Sion,5.77,0.96,13:53,Storm,Wednesday,Navratri,60.6,congested
23-05-2022,Ghatkopar,Airoli,19.23,0.81,15:05,Rain,Monday,,86.2,urban
29-09-2022,Lalbaug,Byculla,1.16,0.81,12:35,Cloudy,Thursday,,3.3,urban
06-03-2023,Bhandup,Ghatkopar,11.21,0.89,13:00,Rain,Monday,,54.7,urban
18-12-2024,Vashi,Juhu,24.01,0.97,13:03,Cloudy,Wednesday,,138.1,urban
20-01-2023,Mulund,Andheri,16.36,0.74,23:30,Clear,Friday,,51.6,urban
20-02-2022,Bhandup,Juhu,19.83,0.86,10:58,Clear,Sunday,,81.7,urban
21-02-2023,Bandra,Malad,19.47,0.78,23:43,Clear,Tuesday,,60.6,urban
01-11-2024,Powai,Kalyan,30.46,0.2,06:59,Clear,Friday,Diwali,29.2,freeway
23-03-2023,Western Express Highway,Bandra,2.65,0.73,13:06,Storm,Thursday,Ramadan Evenings,5.5,freeway
22-07-2024,Belapur,Matunga,24.81,1,08:19,Rain,Monday,,361,congested
28-08-2023,Bandra,Lalbaug,9.24,0.94,20:25,Heavy Rain,Monday,,138.6,congested
24-06-2022,Ghatkopar,Dombivli,24.28,1,13:06,Rain,Friday,,168.3,urban
06-06-2024,Mulund,Colaba,50.06,0.83,18:18,Cloudy,Thursday,,194.3,urban
15-03-2024,Andheri,Panvel,38.98,0.87,14:44,Clear,Friday,,326.4,congested
03-04-2022,Bandra,CST,18.11,1,16:50,Heavy Rain,Sunday,Ramadan Evenings,106.3,urban
26-10-2022,Vashi,Marine Lines,29.91,0.28,12:08,Storm,Wednesday,Navratri,31.5,freeway
18-04-2024,Byculla,Bandra,10.26,0.93,13:47,Rain,Thursday,,120.9,congested
21-12-2023,Goregaon,Worli,21.92,1,10:22,Clear,Thursday,,192.7,urban
16-08-2022,Dadar,Thane,31.31,0.99,05:34,Rain,Tuesday,,305.4,congested
05-03-2023,Mulund,Powai,12.77,0.9,20:26,Clear,Sunday,,70.8,urban
24-08-2022,Sion,Dadar,3.74,0.83,15:30,Clear,Wednesday,,11.8,urban
15-02-2024,Dombivli,Lalbaug,41.21,0.28,22:21,Cloudy,Thursday,,40.7,freeway
24-03-2022,Nerul,Thane,26.03,0.29,22:09,Cloudy,Thursday,,27.4,freeway
27-09-2024,Borivali,Worli,33.25,0.46,03:39,Rain,Friday,,48.1,freeway
16-07-2022,Marine Lines,Mulund,43.69,0.72,02:48,Clear,Saturday,,131.4,urban
28-02-2022,Matunga,Marine Lines,14.08,0.53,18:30,Clear,Monday,,23.5,freeway
25-12-2022,CST,Borivali,38.66,0.7,18:44,Fog,Sunday,Christmas/NewYear,84.2,freeway
02-06-2023,Kalyan,Sion,53.37,0.79,23:58,Rain,Friday,,181,urban
24-03-2024,Lalbaug,Bandra Kurla Complex,11.5,0.24,11:22,Clear,Sunday,,11.8,freeway
12-01-2022,Western Express Highway,Belapur,28.18,0.72,13:33,Cloudy,Wednesday,,88.3,urban
02-04-2022,Malad,Chembur,19.5,0.94,16:52,Clear,Saturday,Gudi Padwa,157.9,congested
12-03-2024,Vashi,Juhu,27.87,0.74,21:33,Clear,Tuesday,,85.4,urban
12-11-2023,Marine Lines,Dadar,12.46,0.87,23:29,Cloudy,Sunday,Diwali,71.4,urban
18-12-2023,Byculla,Sion,7.01,0.93,10:51,Rain,Monday,,41.4,urban
13-06-2024,Marine Lines,Borivali,38.4,0.76,08:17,Heavy Rain,Thursday,,106.6,freeway
06-09-2023,Dombivli,Marine Lines,49.59,0.35,01:17,Cloudy,Wednesday,Janmashtami,55.5,freeway
24-10-2024,Kurla,Byculla,11.92,0.82,18:06,Clear,Thursday,,49.8,urban
28-09-2023,Vashi,Eastern Freeway Start,14.12,0.9,18:11,Cloudy,Thursday,,171.3,congested
14-12-2024,Dombivli,Juhu,37.55,0.67,17:31,Rain,Saturday,,82.5,freeway
08-06-2023,Byculla,Juhu,17.58,0.86,08:52,Clear,Thursday,,71.9,urban
07-09-2024,Worli,Crawford Market,5.39,0.94,14:32,Heavy Rain,Saturday,Ganesh Chaturthi,31.1,urban
15-08-2024,Byculla,Marine Lines,7.59,0.8,05:16,Rain,Thursday,Independence Day,31,urban
18-12-2024,Dadar,Panvel,44.17,0.83,03:37,Clear,Wednesday,,140.5,urban
23-11-2022,Colaba,Chembur,21.5,0.29,14:48,Clear,Wednesday,,21.4,freeway
25-12-2024,Bandra,Sion,4.63,0.87,21:42,Clear,Wednesday,Christmas/NewYear,21.3,urban
02-06-2023,Borivali,Matunga,34.8,0.98,19:49,Clear,Friday,,446.8,congested
22-08-2024,Juhu,Matunga,13.74,1,17:17,Rain,Thursday,,138,urban
15-08-2022,Kurla,Dadar,8.16,0.91,06:46,Heavy Rain,Monday,Independence Day,60.4,urban
19-03-2023,Bandra,Mulund,26.55,0.28,03:33,Clear,Sunday,,28.8,freeway
11-03-2024,Borivali,Vashi,35.34,0.88,06:40,Clear,Monday,Ramadan Evenings,293.4,congested
14-02-2022,Vashi,Dombivli,11.41,0.9,09:22,Clear,Monday,,48.7,urban
29-06-2024,Dombivli,Kurla,27.71,0.92,14:46,Heavy Rain,Saturday,,366.8,congested
13-04-2022,Powai,Sion,14.1,0.95,14:20,Clear,Wednesday,,112.5,congested
03-04-2022,Thane,Juhu,31.33,0.97,12:29,Heavy Rain,Sunday,Ramadan Evenings,155.4,urban
02-05-2022,Bandra Kurla Complex,Goregaon,17.16,0.91,21:42,Storm,Monday,Eid,64.9,urban
13-11-2023,Kalyan,Eastern Freeway Start,37.95,0.88,19:28,Cloudy,Monday,,179.3,urban
22-12-2024,Dombivli,Crawford Market,39.04,0.83,20:04,Clear,Sunday,,159.4,urban
08-05-2024,Colaba,Goregaon,43.06,0.93,04:12,Clear,Wednesday,,309.6,congested
18-04-2024,Lalbaug,Fort,8,0.3,05:17,Cloudy,Thursday,,8.6,freeway
02-05-2022,Matunga,Eastern Freeway Start,9.97,0.99,02:52,Heavy Rain,Monday,Eid,40.7,urban
19-06-2023,Byculla,Belapur,26.98,0.84,23:42,Rain,Monday,,104.1,urban
11-03-2024,Colaba,Dadar,16.63,0.87,08:04,Clear,Monday,Ramadan Evenings,72.4,urban
25-11-2022,Belapur,Matunga,21.55,0.8,07:56,Clear,Friday,,91.5,urban
27-03-2023,Fort,Mulund,34.83,0.88,13:03,Clear,Monday,,296.2,congested
26-02-2024,Powai,Western Express Highway,12.93,0.4,05:39,Clear,Monday,,16.2,freeway
23-03-2023,Vashi,Airoli,11.33,0.73,14:09,Clear,Thursday,Ramadan Evenings,33.2,urban
19-09-2023,Crawford Market,Goregaon,32.3,0.8,00:24,Rain,Tuesday,Ganesh Chaturthi,116.7,urban
23-03-2023,Belapur,Byculla,30.5,0.85,12:24,Heavy Rain,Thursday,Ramadan Evenings,117.2,urban
31-05-2024,Dadar,Dombivli,33.87,0.27,05:27,Clear,Friday,,33.1,freeway
28-07-2022,Borivali,Panvel,55.47,0.88,21:49,Heavy Rain,Thursday,,321.2,urban
26-09-2022,Borivali,Powai,19.73,0.92,19:28,Clear,Monday,,108.7,urban
17-02-2024,Powai,Sion,12.75,0.93,13:44,Clear,Saturday,,95.3,congested
08-04-2022,Dadar,Marine Lines,12.23,0.81,23:15,Cloudy,Friday,,34.3,urban
08-03-2023,Borivali,Goregaon,9.42,0.79,22:45,Clear,Wednesday,Holi,27.4,urban
13-08-2024,Thane,Crawford Market,40.59,0.97,04:54,Heavy Rain,Tuesday,,608.9,congested
11-03-2024,Colaba,Dombivli,49.14,0.9,15:27,Clear,Monday,Ramadan Evenings,504.6,congested
22-03-2023,Powai,Marine Lines,24.68,0.86,20:34,Clear,Wednesday,Gudi Padwa,91.4,urban
25-12-2023,Eastern Freeway Start,Sion,6.14,0.91,21:40,Cloudy,Monday,Christmas/NewYear,53.8,congested
29-08-2024,Goregaon,Sion,19.32,0.91,02:36,Rain,Thursday,,237.5,congested
03-12-2022,Mulund,Western Express Highway,20.14,0.77,22:13,Clear,Saturday,,65.4,urban
23-03-2023,Mohammad Ali Road,Nerul,26.56,0.99,01:09,Cloudy,Thursday,Ramadan Evenings,305.3,congested
10-04-2024,Kalyan,Byculla,49.94,0.47,03:10,Rain,Wednesday,Eid,70.8,freeway
15-08-2024,Mulund,Vashi,15.48,0.84,01:44,Rain,Thursday,Independence Day,51.9,urban
29-01-2022,Mohammad Ali Road,Mulund,36.88,0.28,06:48,Clear,Saturday,,35.7,freeway
15-08-2022,Crawford Market,CST,4.26,0.53,11:16,Rain,Monday,,7.2,freeway
17-02-2022,Kurla,Chembur,4.23,0.78,16:35,Clear,Thursday,,12.9,urban
24-08-2024,Andheri,Malad,8.77,0.98,06:27,Heavy Rain,Saturday,,77.9,urban
27-11-2023,Bandra,Powai,13.21,0.99,09:59,Rain,Monday,,168.9,congested
10-05-2022,Eastern Freeway Start,Mulund,20.54,1,09:01,Cloudy,Tuesday,,331.8,congested
25-12-2022,Kalyan,Juhu,44.97,0.2,11:41,Clear,Sunday,Christmas/NewYear,44.3,freeway
05-03-2022,Dadar,Ghatkopar,11.41,0.96,22:26,Rain,Saturday,,134.3,congested
07-02-2024,Crawford Market,Fort,4.12,0.87,08:25,Fog,Wednesday,,21.7,urban
01-05-2023,Goregaon,Marine Lines,29.18,0.83,06:28,Clear,Monday,,114,urban
01-11-2024,Airoli,Malad,19.56,0.32,14:54,Clear,Friday,Diwali,19.5,freeway
31-10-2022,Kurla,Vashi,20.56,0.73,14:14,Clear,Monday,,66.6,urban
15-10-2023,Mohammad Ali Road,Goregaon,34.54,0.91,21:30,Cloudy,Sunday,Navratri,257.9,congested
04-04-2023,Marine Lines,Dombivli,42.29,0.81,06:11,Cloudy,Tuesday,,125,urban
01-10-2022,Mulund,Malad,14.46,0.91,12:35,Clear,Saturday,,113.9,congested
10-04-2024,Ghatkopar,Belapur,16.58,0.96,18:19,Clear,Wednesday,Eid,218,congested
25-03-2022,Bhandup,Mohammad Ali Road,31.33,0.59,20:14,Rain,Friday,,57.5,freeway
25-05-2022,Colaba,Eastern Freeway Start,28.78,0.27,12:54,Clear,Wednesday,,28,freeway
21-02-2023,Worli,Kurla,11.63,0.81,22:09,Clear,Tuesday,,33,urban
12-11-2023,Juhu,CST,21.34,0.91,18:55,Cloudy,Sunday,Diwali,242.8,congested
31-08-2022,Kalyan,Kurla,49.09,0.96,03:49,Cloudy,Wednesday,Ganesh Chaturthi,401.2,congested
12-11-2023,Bandra,Bandra Kurla Complex,0.5,0.96,09:55,Storm,Sunday,Diwali,2.7,urban
01-11-2024,Byculla,Eastern Freeway Start,12.37,0.93,17:19,Clear,Friday,Diwali,74.8,urban
16-02-2022,Goregaon,Fort,28.68,0.4,12:12,Fog,Wednesday,,38.3,freeway
25-11-2024,CST,Juhu,24.93,0.8,13:46,Clear,Monday,,75.9,urban
07-11-2022,Lalbaug,Andheri,20.6,0.85,09:56,Clear,Monday,,95,urban
23-07-2024,Bandra Kurla Complex,Sion,5.17,0.74,02:51,Heavy Rain,Tuesday,,15.8,freeway
15-10-2023,Andheri,Crawford Market,20.9,0.97,17:49,Storm,Sunday,Navratri,93.4,urban
16-06-2023,Girgaon,Worli,6.52,0.97,11:35,Clear,Friday,,52.5,congested
25-05-2022,Matunga,Kalyan,48.04,0.93,20:55,Clear,Wednesday,,519.5,congested
15-08-2022,Bandra Kurla Complex,Worli,9.44,0.84,09:32,Clear,Monday,Independence Day,47.5,urban
25-04-2024,Colaba,Kurla,23.49,0.99,17:32,Clear,Thursday,,262.2,congested
06-09-2023,Matunga,Crawford Market,8.53,0.93,20:53,Rain,Wednesday,Janmashtami,70.6,urban
11-03-2024,Kalyan,Dadar,46.39,0.75,14:21,Cloudy,Monday,Ramadan Evenings,154.3,urban
30-05-2022,Ghatkopar,Sion,6.61,0.97,08:36,Cloudy,Monday,,68.5,congested
15-07-2022,Powai,Airoli,14.09,0.71,13:12,Cloudy,Friday,,42.3,urban
23-08-2024,Powai,Marine Lines,28.45,0.33,04:05,Cloudy,Friday,,32.2,freeway
07-09-2024,Goregaon,Lalbaug,24.06,0.94,20:43,Rain,Saturday,Ganesh Chaturthi,360.9,congested
15-08-2023,Lalbaug,Andheri,21.55,1,19:58,Storm,Tuesday,Independence Day,305,congested
01-06-2022,Mulund,Ghatkopar,16.28,1,20:04,Heavy Rain,Wednesday,,244.2,congested
01-01-2024,CST,Bandra Kurla Complex,19.46,0.85,21:04,Clear,Monday,,63.6,urban
13-11-2023,Worli,Mohammad Ali Road,5.85,0.83,19:06,Clear,Monday,,27.4,urban
25-12-2022,Mohammad Ali Road,Chembur,20.47,1,06:47,Storm,Sunday,Christmas/NewYear,188.1,congested
18-12-2022,Bandra,Marine Lines,16.07,0.31,21:49,Cloudy,Sunday,,16.2,freeway
10-01-2023,Eastern Freeway Start,Malad,19.42,0.86,10:50,Clear,Tuesday,,86.1,urban
03-09-2023,Dombivli,Matunga,37.02,0.54,02:35,Rain,Sunday,,60.4,freeway
25-12-2022,Panvel,Bandra,46.24,0.92,08:53,Clear,Sunday,Christmas/NewYear,693.6,congested
10-04-2024,Kurla,Juhu,8.53,1,13:03,Clear,Wednesday,Eid,115.4,congested
12-07-2023,Fort,Girgaon,3.05,0.91,22:02,Cloudy,Wednesday,,19.5,urban
18-04-2024,Lalbaug,Marine Lines,7.67,0.78,14:31,Clear,Thursday,,21.5,urban
06-08-2022,Mohammad Ali Road,Airoli,34.45,0.38,04:27,Clear,Saturday,,37.9,freeway
05-12-2023,Marine Lines,Crawford Market,4.84,0.81,14:30,Clear,Tuesday,,14.6,urban
21-04-2023,Airoli,Girgaon,44.42,0.78,23:46,Clear,Friday,Eid,141.2,urban
10-09-2023,Andheri,Crawford Market,23.83,0.86,09:14,Clear,Sunday,,100.7,urban
23-07-2022,Bhandup,Mulund,4.33,0.99,10:36,Rain,Saturday,,65,congested
04-04-2023,Panvel,Dombivli,13.6,0.95,04:07,Clear,Tuesday,,98.5,congested
10-08-2022,Marine Lines,Mulund,36.18,0.94,17:24,Rain,Wednesday,,215,urban
03-11-2022,CST,Fort,0.89,0.93,17:37,Clear,Thursday,,4.9,urban
15-08-2022,Fort,Andheri,28.78,0.99,07:22,Heavy Rain,Monday,Independence Day,431.7,congested
02-12-2024,Goregaon,Dadar,20.16,0.86,07:42,Cloudy,Monday,,84,urban
12-11-2023,Fort,Colaba,5.34,0.97,15:34,Heavy Rain,Sunday,Diwali,24,urban
15-08-2022,Bhandup,Andheri,14.99,1,16:35,Storm,Monday,Independence Day,210.4,congested
21-03-2022,Andheri,Vashi,19.21,0.77,13:29,Cloudy,Monday,,59.9,urban
25-12-2024,CST,Vashi,33.98,0.59,17:51,Rain,Wednesday,Christmas/NewYear,54,freeway
18-12-2022,Mulund,Kalyan,28.66,0.79,08:35,Cloudy,Sunday,,99.6,urban
25-02-2023,Girgaon,Juhu,20.86,0.97,01:10,Clear,Saturday,,155.5,congested
07-08-2024,Worli,Andheri,20.45,0.84,19:47,Rain,Wednesday,,92,urban
14-04-2023,Dombivli,Bhandup,22.93,0.84,15:05,Clear,Friday,,72.7,urban
31-08-2022,Nerul,Lalbaug,26.31,0.96,12:27,Heavy Rain,Wednesday,Ganesh Chaturthi,242.1,urban
23-03-2023,Chembur,Belapur,15.07,1,12:02,Storm,Thursday,Ramadan Evenings,165.2,congested
21-04-2024,Bhandup,Bandra Kurla Complex,19.11,0.91,01:31,Cloudy,Sunday,,159,congested
16-07-2023,Bandra Kurla Complex,Malad,14.66,0.95,20:23,Rain,Sunday,,107.6,urban
21-04-2023,Mohammad Ali Road,Dombivli,48.9,0.89,05:25,Clear,Friday,Eid,294.9,urban
15-10-2023,Andheri,Eastern Freeway Start,13.51,0.82,02:21,Heavy Rain,Sunday,Navratri,51.1,urban
27-12-2023,Andheri,Malad,6.9,0.79,20:54,Cloudy,Wednesday,,28,urban
11-03-2024,Mohammad Ali Road,Kurla,20.44,0.93,19:17,Cloudy,Monday,Ramadan Evenings,306.6,congested
22-12-2022,Eastern Freeway Start,Nerul,18.97,0.79,13:42,Clear,Thursday,,59.4,urban
25-12-2023,Marine Lines,Fort,2.76,0.93,17:04,Fog,Monday,Christmas/NewYear,22,urban
25-03-2024,Borivali,Sion,26.07,0.45,13:59,Clear,Monday,Holi,32.2,freeway
07-06-2023,Dadar,Lalbaug,4.54,0.84,19:20,Rain,Wednesday,,25.7,urban
