time_of_day,day_of_week,weather,ors_time,congestion_index,actual_travel_time,distance_km,congestion_index
Night,Monday,Rainy,10.05,0.97,12.63,19.73,0.96
Night,Wednesday,Rainy,40.01,0.86,43.07,12.19,0.9
Midday,Thursday,Clear,24.2,1.24,30.03,9.6,0.91
Night,Tuesday,Rainy,54.03,1.03,71.64,28.06,0.79
Evening Peak,Saturday,Clear,26.36,1.48,38.97,38.42,0.75
Evening Peak,Friday,Cloudy,24.49,1.39,34.16,11.98,0.95
Morning Peak,Saturday,Clear,23.48,1.48,34.81,32.78,0.56
Night,Thursday,Cloudy,17.24,0.91,15.74,2.59,0.89
Midday,Monday,Clear,39.08,1.15,44.97,33.08,1.0
Evening Peak,Friday,Clear,18.41,1.23,22.66,19.9,0.8
Evening Peak,Tuesday,Clear,31.23,1.47,46.0,23.32,0.92
Midday,Thursday,Clear,33.05,1.11,36.53,12.56,0.92
Midday,Friday,Cloudy,11.02,1.07,11.77,30.83,0.6
Evening Peak,Thursday,Rainy,10.84,1.31,16.37,23.49,0.87
Evening Peak,Thursday,Stormy,36.01,1.27,71.04,12.03,0.77
Midday,Tuesday,Clear,44.8,1.27,56.92,33.68,0.9
Evening Peak,Sunday,Rainy,57.11,1.27,88.43,5.6,0.98
Morning Peak,Wednesday,Cloudy,18.96,1.74,33.01,12.86,0.77
Morning Peak,Friday,Clear,15.16,1.59,24.05,7.4,0.83
Midday,Tuesday,Clear,12.6,1.26,15.88,34.67,0.58
Night,Thursday,Cloudy,31.8,0.94,29.96,4.73,0.81
Midday,Tuesday,Rainy,41.16,1.28,68.2,14.43,0.81
Midday,Sunday,Cloudy,52.03,1.06,55.33,37.0,0.74
Night,Wednesday,Clear,44.13,0.97,42.65,14.36,0.52
Night,Saturday,Cloudy,20.42,0.84,17.11,21.62,0.82
Night,Friday,Clear,33.09,0.93,30.91,29.33,0.89
Morning Peak,Wednesday,Rainy,55.52,1.58,113.45,8.87,0.78
Evening Peak,Monday,Rainy,26.34,1.44,49.18,17.63,0.87
Morning Peak,Friday,Clear,34.94,1.48,51.8,9.33,0.86
Evening Peak,Wednesday,Rainy,57.93,1.23,91.98,27.08,0.95
Morning Peak,Thursday,Clear,46.74,1.63,76.07,38.03,0.49
Evening Peak,Friday,Stormy,47.39,1.4,86.11,28.98,0.64
Morning Peak,Friday,Clear,22.62,1.37,30.95,12.02,0.94
Night,Tuesday,Clear,30.73,1.08,33.22,40.99,0.62
Midday,Thursday,Clear,14.12,1.29,18.16,45.62,0.3
Morning Peak,Monday,Clear,40.33,1.73,69.7,23.06,1.0
Evening Peak,Saturday,Clear,15.19,1.54,23.35,31.32,0.29
Night,Sunday,Cloudy,51.8,0.83,42.97,28.39,0.91
Morning Peak,Wednesday,Cloudy,50.73,1.8,91.14,36.86,0.99
Morning Peak,Tuesday,Rainy,36.68,1.5,68.69,41.84,0.67
Night,Wednesday,Clear,17.06,0.85,14.48,19.19,0.31
Morning Peak,Monday,Cloudy,11.28,1.71,19.24,24.99,0.9
Midday,Monday,Clear,49.84,1.07,53.21,21.17,0.27
Morning Peak,Friday,Rainy,40.01,1.56,72.19,13.64,0.82
Midday,Sunday,Clear,45.55,1.04,47.3,4.48,0.78
Midday,Monday,Rainy,25.19,1.14,35.71,14.59,0.93
Night,Wednesday,Rainy,35.47,0.97,44.48,7.93,0.43
Morning Peak,Thursday,Cloudy,47.36,1.52,72.13,25.68,0.99
Night,Thursday,Clear,33.13,0.82,27.19,28.04,0.98
Morning Peak,Friday,Clear,40.07,1.54,61.81,41.92,0.38
Morning Peak,Saturday,Clear,49.49,1.53,75.94,2.43,0.95
Evening Peak,Wednesday,Rainy,20.76,1.3,30.01,13.89,0.49
Morning Peak,Wednesday,Rainy,13.3,1.76,28.41,17.39,0.8
Night,Monday,Clear,36.59,0.93,33.86,33.18,0.74
Midday,Sunday,Cloudy,13.11,1.26,16.5,14.24,0.93
Morning Peak,Wednesday,Rainy,48.33,1.35,81.65,13.6,0.85
Evening Peak,Tuesday,Cloudy,45.96,1.33,61.01,36.19,0.26
Night,Saturday,Clear,54.09,0.85,46.13,18.21,0.72
Morning Peak,Monday,Clear,41.98,1.5,63.14,34.11,0.27
Night,Tuesday,Clear,13.36,0.83,11.14,13.02,0.47
Evening Peak,Friday,Rainy,22.66,1.38,35.89,7.74,0.86
Evening Peak,Thursday,Clear,50.4,1.34,67.61,10.92,0.86
Night,Friday,Clear,18.36,0.87,15.92,59.84,0.94
Morning Peak,Thursday,Rainy,44.92,1.62,83.39,36.49,0.32
Midday,Friday,Cloudy,49.01,1.29,63.0,27.12,0.9
Evening Peak,Wednesday,Rainy,26.51,1.28,37.81,2.15,0.91
Morning Peak,Tuesday,Clear,26.11,1.66,43.24,31.34,0.97
Morning Peak,Thursday,Clear,37.89,1.67,63.32,8.64,1.0
Midday,Monday,Rainy,53.06,1.15,68.24,24.03,0.75
Evening Peak,Tuesday,Clear,21.2,1.56,33.04,7.8,0.34
Evening Peak,Monday,Clear,57.06,1.59,90.53,10.09,0.36
Morning Peak,Tuesday,Clear,39.96,1.48,59.18,31.81,0.29
Morning Peak,Tuesday,Clear,59.61,1.63,96.89,10.8,0.82
Midday,Friday,Clear,14.48,1.2,17.36,9.33,0.82
Midday,Thursday,Rainy,16.33,1.12,22.54,3.59,1.0
Evening Peak,Thursday,Rainy,51.33,1.33,81.79,41.8,0.93
Night,Sunday,Rainy,53.24,1.08,63.6,40.65,0.44
Evening Peak,Tuesday,Clear,32.27,1.52,48.93,0.5,0.89
Morning Peak,Wednesday,Clear,45.7,1.36,62.03,5.56,0.81
Evening Peak,Wednesday,Clear,53.38,1.25,66.61,9.86,0.89
Night,Monday,Rainy,12.16,1.08,16.94,34.03,0.48
Midday,Monday,Clear,38.7,1.02,39.64,7.9,1.0
Night,Friday,Cloudy,52.67,1.01,53.02,23.45,0.87
Night,Tuesday,Rainy,29.91,0.87,31.96,8.78,0.82
Night,Monday,Clear,25.12,0.81,20.36,10.06,1.0
Midday,Monday,Clear,49.79,1.02,50.68,34.83,0.24
Night,Saturday,Stormy,26.79,0.91,35.54,35.68,0.82
Night,Tuesday,Stormy,10.16,0.82,11.56,15.33,0.79
Night,Friday,Clear,57.98,0.98,56.76,32.22,0.33
Morning Peak,Monday,Clear,39.61,1.62,64.31,37.67,0.2
Night,Friday,Stormy,50.98,0.91,69.62,36.03,0.7
Midday,Thursday,Clear,51.27,1.22,62.69,32.64,0.44
Night,Friday,Clear,13.32,0.95,12.61,35.06,0.36
Night,Wednesday,Clear,18.54,0.93,17.23,9.33,0.72
Midday,Wednesday,Cloudy,25.56,1.12,28.68,40.94,1.0
Night,Friday,Clear,26.03,0.93,24.2,13.37,0.74
Midday,Wednesday,Clear,42.94,1.29,55.41,8.44,0.76
Night,Thursday,Clear,41.16,1.0,41.34,10.08,0.92
Midday,Tuesday,Cloudy,34.73,1.09,38.01,6.1,0.79
Night,Wednesday,Stormy,20.56,1.02,29.56,5.14,0.94
Night,Wednesday,Rainy,29.1,0.9,32.45,33.26,0.98
Morning Peak,Friday,Rainy,37.18,1.36,62.65,9.61,0.87
Morning Peak,Thursday,Cloudy,33.4,1.54,51.36,47.92,0.31
Night,Sunday,Clear,16.36,1.03,16.78,15.18,0.99
Night,Sunday,Clear,42.48,0.91,38.79,24.51,0.82
Evening Peak,Sunday,Rainy,13.65,1.55,23.63,30.46,0.41
Midday,Sunday,Clear,28.91,1.12,32.27,8.28,0.87
Evening Peak,Tuesday,Clear,45.5,1.34,60.97,24.95,0.8
Morning Peak,Friday,Rainy,11.0,1.8,25.37,2.15,0.9
Morning Peak,Friday,Clear,38.5,1.54,59.34,4.28,0.83
Morning Peak,Saturday,Clear,26.73,1.7,45.5,35.14,0.53
Morning Peak,Thursday,Stormy,10.44,1.7,25.71,13.6,0.72
Night,Sunday,Rainy,19.52,1.08,24.8,23.18,0.88
Morning Peak,Tuesday,Clear,57.05,1.34,76.58,46.77,0.65
Night,Thursday,Stormy,36.06,0.88,50.42,40.66,1.0
Night,Sunday,Cloudy,59.86,1.03,61.68,11.74,0.94
Morning Peak,Tuesday,Rainy,36.24,1.58,68.06,19.62,0.49
Morning Peak,Thursday,Clear,37.2,1.58,58.76,37.42,0.66
Midday,Friday,Clear,29.59,1.05,31.07,6.12,0.94
Evening Peak,Friday,Cloudy,25.5,1.31,33.47,1.02,0.95
Morning Peak,Monday,Rainy,22.58,1.56,43.84,18.08,0.97
Midday,Wednesday,Cloudy,27.17,1.08,29.43,6.59,0.92
Midday,Sunday,Clear,32.99,1.06,35.07,34.7,0.86
Evening Peak,Saturday,Clear,19.6,1.24,24.21,25.3,0.31
Night,Thursday,Rainy,21.24,0.85,22.14,4.52,0.98
Morning Peak,Saturday,Clear,23.58,1.68,39.71,68.64,0.82
Evening Peak,Monday,Cloudy,32.46,1.49,48.29,35.95,0.86
Morning Peak,Wednesday,Clear,42.64,1.32,56.41,29.94,0.92
Midday,Thursday,Clear,52.81,1.06,56.03,11.21,0.96
Midday,Tuesday,Cloudy,24.36,1.17,28.45,13.07,0.82
Night,Sunday,Cloudy,19.19,0.9,17.21,18.77,0.8
Midday,Wednesday,Clear,28.94,1.25,36.09,38.88,0.93
Midday,Friday,Clear,54.72,1.24,67.61,18.09,0.91
Evening Peak,Monday,Rainy,10.49,1.56,18.51,4.91,0.82
Morning Peak,Wednesday,Clear,43.89,1.58,69.42,17.31,0.91
Morning Peak,Sunday,Cloudy,33.86,1.48,49.98,40.73,0.76
Evening Peak,Wednesday,Stormy,18.05,1.44,41.59,12.1,1.0
Night,Sunday,Clear,26.05,0.83,21.54,14.73,0.91
Morning Peak,Friday,Rainy,21.25,1.3,33.07,37.46,0.93
Midday,Thursday,Clear,53.89,1.01,54.17,3.38,0.88
Morning Peak,Tuesday,Cloudy,34.09,1.5,51.27,2.89,0.81
Midday,Friday,Clear,38.15,1.07,40.77,31.62,0.98
Night,Tuesday,Stormy,39.68,0.85,47.69,14.76,0.35
Evening Peak,Thursday,Clear,41.98,1.45,60.71,37.47,0.85
Morning Peak,Wednesday,Clear,34.78,1.8,62.51,33.48,0.62
Evening Peak,Tuesday,Stormy,10.89,1.27,21.82,2.97,0.7
Morning Peak,Monday,Cloudy,26.74,1.57,42.06,15.15,0.85
Midday,Monday,Cloudy,19.19,1.04,19.88,16.37,0.77
Evening Peak,Sunday,Clear,44.01,1.57,69.25,19.0,0.97
Morning Peak,Friday,Rainy,12.84,1.45,22.38,14.89,0.72
Midday,Thursday,Clear,38.19,1.26,48.25,28.46,0.95
Evening Peak,Sunday,Clear,20.53,1.31,26.96,28.95,0.78
Evening Peak,Friday,Cloudy,57.44,1.52,87.45,20.38,0.8
Morning Peak,Friday,Clear,26.78,1.4,37.61,21.73,0.92
Morning Peak,Sunday,Stormy,26.26,1.45,57.41,31.87,0.59
Morning Peak,Saturday,Rainy,56.17,1.4,99.54,31.78,0.29
Midday,Friday,Rainy,30.87,1.08,38.22,14.16,0.95
Morning Peak,Saturday,Rainy,58.14,1.72,113.23,29.03,0.81
Evening Peak,Monday,Cloudy,11.21,1.46,16.32,40.58,0.76
Evening Peak,Monday,Clear,25.32,1.36,34.49,22.05,0.76
Morning Peak,Friday,Rainy,43.31,1.79,86.13,21.49,0.82
Morning Peak,Monday,Clear,54.54,1.53,83.58,5.14,0.33
Night,Thursday,Clear,22.82,1.09,24.9,9.38,0.85
Evening Peak,Saturday,Rainy,56.52,1.28,92.47,5.03,0.82
Midday,Saturday,Cloudy,39.71,1.27,50.48,8.14,1.0
Night,Friday,Rainy,50.05,0.8,45.89,16.06,0.84
Morning Peak,Monday,Clear,29.86,1.57,46.96,8.7,0.9
Morning Peak,Tuesday,Cloudy,20.61,1.51,31.15,20.07,0.83
Evening Peak,Sunday,Clear,55.56,1.41,78.34,14.02,1.0
Morning Peak,Sunday,Cloudy,56.66,1.58,89.33,21.67,0.88
Midday,Saturday,Rainy,34.88,1.12,45.24,17.34,0.92
Evening Peak,Friday,Cloudy,10.32,1.6,16.51,26.28,0.38
Morning Peak,Friday,Clear,15.49,1.79,27.7,17.1,0.8
Evening Peak,Thursday,Clear,38.65,1.58,61.25,30.58,0.36
Morning Peak,Wednesday,Clear,11.19,1.79,20.02,26.35,0.88
Morning Peak,Wednesday,Cloudy,29.85,1.7,50.63,2.27,0.67
Morning Peak,Saturday,Rainy,25.17,1.79,52.26,38.76,0.55
Midday,Sunday,Clear,45.72,1.27,57.96,2.69,0.91
Midday,Thursday,Rainy,12.78,1.12,16.69,20.48,0.96
Evening Peak,Thursday,Rainy,34.44,1.51,64.31,21.25,0.94
Morning Peak,Thursday,Cloudy,38.96,1.76,68.41,25.88,0.88
Morning Peak,Saturday,Cloudy,40.86,1.66,67.68,2.25,0.3
Midday,Wednesday,Rainy,30.26,1.13,44.01,17.71,0.81
Morning Peak,Sunday,Clear,25.22,1.33,33.61,25.92,0.88
Midday,Thursday,Clear,44.12,1.24,54.84,37.98,0.28
Morning Peak,Sunday,Clear,52.38,1.78,93.04,4.27,0.3
Evening Peak,Monday,Stormy,44.68,1.34,84.06,52.25,0.46
Morning Peak,Friday,Rainy,56.61,1.38,92.02,39.05,0.46
Morning Peak,Friday,Rainy,45.86,1.46,84.17,20.48,1.0
Night,Sunday,Clear,48.23,0.97,47.01,45.96,0.82
Midday,Tuesday,Clear,18.4,1.1,20.14,15.77,0.95
Morning Peak,Tuesday,Clear,30.98,1.61,49.73,29.38,0.24
Morning Peak,Saturday,Clear,34.25,1.78,61.09,8.19,1.0
Night,Saturday,Cloudy,22.81,1.0,22.84,40.37,0.82
Night,Friday,Stormy,36.43,0.91,47.33,24.22,0.89
Midday,Monday,Rainy,24.54,1.28,40.39,5.66,0.82
Night,Wednesday,Cloudy,44.38,0.97,43.03,8.46,0.76
Evening Peak,Wednesday,Clear,33.51,1.25,41.94,41.64,0.37
Night,Saturday,Clear,32.94,0.95,31.28,17.43,0.81
Evening Peak,Monday,Clear,59.18,1.46,86.49,36.62,0.81
Midday,Saturday,Rainy,29.62,1.25,44.51,11.25,0.94
Midday,Wednesday,Rainy,28.11,1.28,42.12,24.32,0.94
Midday,Sunday,Clear,25.93,1.1,28.4,12.39,0.91
Midday,Saturday,Clear,54.74,1.05,57.29,21.64,0.73
Midday,Thursday,Clear,34.84,1.02,35.61,2.28,0.8
Evening Peak,Sunday,Clear,40.0,1.5,59.81,30.17,0.32
Evening Peak,Saturday,Clear,19.04,1.52,28.91,20.12,0.73
Midday,Friday,Clear,37.05,1.12,41.6,7.83,0.86
Night,Saturday,Clear,23.73,0.92,21.8,18.1,0.84
Morning Peak,Friday,Rainy,46.53,1.78,107.03,29.91,0.52
Midday,Monday,Cloudy,51.63,1.28,65.82,5.2,0.99
Night,Wednesday,Clear,45.74,0.87,39.79,28.48,1.0
Morning Peak,Sunday,Clear,46.51,1.69,78.62,29.05,0.42
Midday,Sunday,Clear,35.62,1.19,42.28,42.96,0.46
Midday,Tuesday,Clear,45.61,1.05,47.72,12.52,0.99
Evening Peak,Tuesday,Clear,31.13,1.34,41.8,13.39,0.89
Morning Peak,Wednesday,Cloudy,42.57,1.39,59.12,6.6,0.86
Morning Peak,Tuesday,Cloudy,22.95,1.45,33.22,51.41,0.39
Night,Sunday,Rainy,13.49,0.98,15.74,4.94,0.85
Evening Peak,Saturday,Clear,30.67,1.35,41.41,35.5,0.74
Evening Peak,Monday,Rainy,33.09,1.36,51.49,16.33,0.98
Evening Peak,Monday,Clear,22.82,1.42,32.31,61.23,0.41
Evening Peak,Wednesday,Clear,46.39,1.23,57.28,7.45,1.0
Morning Peak,Tuesday,Cloudy,13.68,1.67,22.83,28.07,1.0
Morning Peak,Saturday,Cloudy,21.14,1.5,31.72,25.26,0.51
Midday,Monday,Rainy,47.43,1.14,61.62,5.77,0.96
Midday,Monday,Rainy,31.86,1.29,53.48,19.23,0.81
Evening Peak,Thursday,Rainy,45.26,1.34,75.73,1.16,0.81
Evening Peak,Thursday,Rainy,38.37,1.46,66.18,11.21,0.89
Evening Peak,Sunday,Cloudy,57.54,1.36,78.08,24.01,0.97
Midday,Monday,Cloudy,39.89,1.27,50.59,16.36,0.74
Night,Wednesday,Cloudy,10.74,1.05,11.32,19.83,0.86
Night,Friday,Stormy,27.64,0.87,37.33,19.47,0.78
Midday,Friday,Rainy,17.15,1.21,25.05,30.46,0.2
Midday,Saturday,Clear,56.23,1.02,57.33,2.65,0.73
Midday,Monday,Rainy,15.2,1.29,22.8,24.81,1.0
Midday,Monday,Clear,29.39,1.1,32.46,9.24,0.94
Midday,Sunday,Clear,21.3,1.25,26.62,24.28,1.0
Midday,Monday,Clear,52.34,1.1,57.34,50.06,0.83
Evening Peak,Wednesday,Cloudy,25.43,1.45,36.95,38.98,0.87
Evening Peak,Thursday,Rainy,59.59,1.59,118.57,18.11,1.0
Evening Peak,Monday,Clear,11.93,1.55,18.5,29.91,0.28
Evening Peak,Monday,Clear,16.41,1.26,20.75,10.26,0.93
Midday,Sunday,Clear,21.23,1.16,24.72,21.92,1.0
Night,Tuesday,Cloudy,50.56,0.9,45.73,31.31,0.99
Morning Peak,Sunday,Clear,53.93,1.52,81.81,12.77,0.9
Midday,Sunday,Clear,13.57,1.1,14.94,3.74,0.83
Morning Peak,Wednesday,Clear,11.62,1.47,17.06,41.21,0.28
Night,Saturday,Clear,47.23,0.96,45.47,26.03,0.29
Evening Peak,Monday,Clear,16.67,1.28,21.28,33.25,0.46
Night,Sunday,Rainy,16.65,0.96,19.99,43.69,0.72
Midday,Sunday,Clear,11.12,1.08,12.05,14.08,0.53
Evening Peak,Tuesday,Cloudy,12.49,1.32,16.43,38.66,0.7
Midday,Sunday,Clear,23.18,1.22,28.32,53.37,0.79
Evening Peak,Friday,Clear,13.25,1.21,16.06,11.5,0.24
Morning Peak,Saturday,Clear,28.44,1.49,42.39,28.18,0.72
Morning Peak,Monday,Rainy,51.64,1.5,93.19,19.5,0.94
Morning Peak,Monday,Rainy,26.32,1.54,45.02,27.87,0.74
Night,Tuesday,Rainy,46.39,1.0,51.78,12.46,0.87
Midday,Wednesday,Cloudy,14.7,1.11,16.33,7.01,0.93
Night,Monday,Clear,42.97,0.86,37.12,38.4,0.76
Morning Peak,Friday,Rainy,25.84,1.74,56.62,49.59,0.35
Midday,Monday,Cloudy,47.49,1.29,61.46,11.92,0.82
Morning Peak,Friday,Clear,16.81,1.31,22.02,14.12,0.9
Night,Saturday,Rainy,54.89,0.96,66.92,37.55,0.67
Night,Saturday,Clear,22.13,0.9,19.97,17.58,0.86
Night,Thursday,Clear,27.66,0.88,24.42,5.39,0.94
Morning Peak,Thursday,Clear,57.51,1.47,84.41,7.59,0.8
Midday,Friday,Clear,38.92,1.19,46.38,44.17,0.83
Midday,Wednesday,Cloudy,28.29,1.06,29.91,21.5,0.29
Morning Peak,Monday,Clear,57.48,1.76,100.96,4.63,0.87
Midday,Sunday,Clear,26.45,1.14,30.15,34.8,0.98
Morning Peak,Monday,Clear,14.74,1.46,21.57,13.74,1.0
Midday,Thursday,Cloudy,59.84,1.23,73.59,8.16,0.91
Evening Peak,Sunday,Rainy,23.39,1.21,34.87,26.55,0.28
Evening Peak,Friday,Clear,52.56,1.37,72.16,35.34,0.88
Night,Sunday,Clear,18.28,0.91,16.57,11.41,0.9
Evening Peak,Monday,Clear,46.57,1.34,62.18,27.71,0.92
Evening Peak,Monday,Rainy,36.22,1.33,61.3,14.1,0.95
Evening Peak,Wednesday,Clear,59.05,1.21,71.59,31.33,0.97
Morning Peak,Tuesday,Clear,37.64,1.38,51.8,17.16,0.91
Evening Peak,Sunday,Clear,11.25,1.26,14.14,37.95,0.88
Evening Peak,Thursday,Rainy,40.19,1.6,79.77,39.04,0.83
Night,Thursday,Cloudy,17.27,0.81,13.93,43.06,0.93
Evening Peak,Tuesday,Clear,49.93,1.27,63.25,8.0,0.3
Evening Peak,Monday,Clear,52.83,1.59,83.98,9.97,0.99
Midday,Wednesday,Clear,34.1,1.19,40.53,26.98,0.84
Night,Wednesday,Rainy,49.16,0.94,58.82,16.63,0.87
Night,Thursday,Rainy,17.26,0.82,16.06,21.55,0.8
Night,Wednesday,Cloudy,34.6,1.0,34.63,34.83,0.88
Night,Saturday,Rainy,29.7,0.84,29.42,12.93,0.4
Night,Tuesday,Clear,40.57,1.0,40.62,11.33,0.73
Night,Monday,Cloudy,12.22,1.09,13.37,32.3,0.8
Morning Peak,Saturday,Cloudy,47.61,1.57,74.55,30.5,0.85
Evening Peak,Tuesday,Clear,13.96,1.29,17.94,33.87,0.27
Night,Friday,Rainy,42.82,0.99,50.45,55.47,0.88
Evening Peak,Sunday,Clear,10.92,1.41,15.35,19.73,0.92
Evening Peak,Thursday,Clear,51.59,1.41,72.92,12.75,0.93
Morning Peak,Wednesday,Cloudy,18.73,1.54,28.83,12.23,0.81
Night,Friday,Cloudy,35.77,1.0,35.85,9.42,0.79
Midday,Wednesday,Cloudy,23.07,1.17,27.03,40.59,0.97
Morning Peak,Saturday,Clear,46.13,1.79,82.74,49.14,0.9
Midday,Monday,Rainy,26.07,1.25,37.71,24.68,0.86
Evening Peak,Monday,Cloudy,46.23,1.31,60.37,6.14,0.91
Evening Peak,Monday,Clear,24.24,1.49,36.13,19.32,0.91
Morning Peak,Wednesday,Stormy,47.62,1.41,101.7,20.14,0.77
Morning Peak,Friday,Rainy,11.53,1.69,25.01,26.56,0.99
Midday,Monday,Clear,24.17,1.04,25.24,49.94,0.47
Night,Friday,Rainy,34.93,0.94,38.91,15.48,0.84
Midday,Wednesday,Clear,12.25,1.24,15.16,36.88,0.28
Morning Peak,Saturday,Clear,19.3,1.44,27.8,4.26,0.53
Midday,Friday,Clear,56.73,1.25,70.97,4.23,0.78
Morning Peak,Saturday,Stormy,58.84,1.62,151.04,8.77,0.98
Midday,Wednesday,Clear,46.99,1.12,52.59,13.21,0.99
Morning Peak,Wednesday,Cloudy,22.61,1.51,34.18,20.54,1.0
Morning Peak,Thursday,Clear,23.03,1.76,40.59,44.97,0.2
Morning Peak,Wednesday,Rainy,42.29,1.41,71.7,11.41,0.96
Night,Wednesday,Cloudy,15.88,1.01,16.01,4.12,0.87
Midday,Tuesday,Cloudy,57.42,1.21,69.6,29.18,0.83
Midday,Monday,Clear,21.24,1.28,27.12,19.56,0.32
Midday,Thursday,Rainy,59.98,1.21,87.71,20.56,0.73
Morning Peak,Sunday,Stormy,34.79,1.59,81.98,34.54,0.91
Midday,Thursday,Cloudy,48.57,1.27,61.72,42.29,0.81
Midday,Thursday,Clear,10.11,1.25,12.62,14.46,0.91
Morning Peak,Sunday,Rainy,54.44,1.66,104.15,16.58,0.96
Evening Peak,Tuesday,Clear,23.5,1.21,28.51,31.33,0.59
Morning Peak,Saturday,Rainy,43.4,1.49,75.92,28.78,0.27
Midday,Wednesday,Rainy,50.32,1.19,72.46,11.63,0.81
Morning Peak,Monday,Clear,18.21,1.56,28.42,21.34,0.91
Evening Peak,Friday,Clear,32.13,1.33,42.65,49.09,0.96
Morning Peak,Sunday,Clear,34.69,1.37,47.6,0.5,0.96
Midday,Saturday,Cloudy,25.61,1.17,29.85,12.37,0.93
Evening Peak,Sunday,Cloudy,34.09,1.31,44.8,28.68,0.4
Night,Wednesday,Clear,25.88,0.87,22.51,24.93,0.8
Midday,Tuesday,Clear,28.04,1.12,31.39,20.6,0.85
Evening Peak,Sunday,Clear,43.47,1.51,65.82,5.17,0.74
Evening Peak,Wednesday,Clear,41.63,1.4,58.08,20.9,0.97
Night,Wednesday,Clear,21.61,0.86,18.69,6.52,0.97
Morning Peak,Tuesday,Rainy,54.87,1.36,96.04,48.04,0.93
Morning Peak,Thursday,Clear,53.14,1.55,82.34,9.44,0.84
Midday,Thursday,Rainy,35.45,1.24,53.94,23.49,0.99
Night,Monday,Cloudy,31.66,1.0,31.53,8.53,0.93
Morning Peak,Monday,Clear,28.84,1.42,40.84,46.39,0.75
Night,Thursday,Rainy,45.36,0.93,49.27,6.61,0.97
Morning Peak,Saturday,Cloudy,43.58,1.73,75.3,14.09,0.71
Evening Peak,Friday,Clear,19.81,1.27,25.18,28.45,0.33
Morning Peak,Wednesday,Clear,43.57,1.57,68.24,24.06,0.94
Night,Friday,Clear,22.62,0.91,20.51,21.55,1.0
Evening Peak,Wednesday,Clear,10.93,1.25,13.66,16.28,1.0
Evening Peak,Thursday,Clear,44.96,1.22,54.85,19.46,0.85
Evening Peak,Monday,Clear,42.24,1.42,60.08,5.85,0.83
Night,Saturday,Clear,30.54,0.81,24.62,20.47,1.0
Midday,Monday,Clear,36.28,1.03,37.41,16.07,0.31
Midday,Friday,Clear,57.36,1.1,63.34,19.42,0.86
Midday,Monday,Clear,39.76,1.01,40.28,37.02,0.54
Night,Thursday,Clear,42.89,0.92,39.47,46.24,0.92
Evening Peak,Saturday,Stormy,13.2,1.25,21.53,8.53,1.0
Midday,Friday,Clear,18.3,1.1,20.22,3.05,0.91
Night,Saturday,Cloudy,25.05,1.04,25.98,7.67,0.78
Midday,Wednesday,Clear,36.97,1.19,43.92,34.45,0.38
Morning Peak,Monday,Rainy,48.83,1.52,96.39,4.84,0.81
Midday,Saturday,Clear,26.06,1.03,26.78,44.42,0.78
Midday,Tuesday,Stormy,27.82,1.19,47.76,23.83,0.86
Evening Peak,Monday,Cloudy,22.81,1.27,28.86,4.33,0.99
Night,Wednesday,Clear,22.73,0.82,18.71,13.6,0.95
Evening Peak,Saturday,Rainy,57.44,1.47,108.41,36.18,0.94
Evening Peak,Friday,Cloudy,41.77,1.56,65.37,0.89,0.93
Evening Peak,Wednesday,Clear,17.8,1.38,24.63,28.78,0.99
Evening Peak,Tuesday,Rainy,46.11,1.22,67.86,20.16,0.86
Evening Peak,Saturday,Rainy,46.1,1.55,87.37,5.34,0.97
Midday,Sunday,Clear,43.32,1.02,44.19,14.99,1.0
Evening Peak,Sunday,Clear,16.74,1.55,25.89,19.21,0.77
Evening Peak,Thursday,Rainy,30.4,1.36,51.24,33.98,0.59
Night,Monday,Cloudy,15.34,0.91,13.95,28.66,0.79
Morning Peak,Friday,Rainy,50.83,1.57,92.99,20.86,0.97
Midday,Thursday,Cloudy,42.76,1.29,55.04,20.45,0.84
Midday,Saturday,Clear,35.36,1.27,44.89,22.93,0.84
Midday,Sunday,Rainy,27.15,1.14,38.41,26.31,0.96
Evening Peak,Sunday,Clear,19.21,1.48,28.4,15.07,1.0
Evening Peak,Sunday,Clear,15.32,1.43,21.94,19.11,0.91
Evening Peak,Saturday,Cloudy,58.46,1.48,86.37,14.66,0.95
Night,Sunday,Cloudy,19.98,1.05,20.96,48.9,0.89
Morning Peak,Wednesday,Clear,12.99,1.32,17.12,13.51,0.82
Evening Peak,Saturday,Rainy,58.08,1.33,93.14,6.9,0.79
Morning Peak,Friday,Clear,37.45,1.78,66.64,20.44,0.93
Night,Thursday,Clear,49.83,1.08,54.06,18.97,0.79
Midday,Friday,Rainy,12.19,1.0,15.1,2.76,0.93
Evening Peak,Tuesday,Clear,38.35,1.28,49.11,26.07,0.45
Morning Peak,Sunday,Clear,29.91,1.8,53.75,4.54,0.84
Morning Peak,Tuesday,Clear,48.6,1.55,75.15,39.71,0.8
Evening Peak,Monday,Stormy,11.92,1.43,26.42,38.47,0.93
Midday,Monday,Clear,30.08,1.05,31.59,2.55,1.0
Midday,Tuesday,Clear,49.95,1.27,63.36,34.1,0.5
Midday,Saturday,Cloudy,36.13,1.07,38.64,22.98,0.96
Night,Friday,Clear,37.5,0.86,32.14,33.58,0.77
Morning Peak,Tuesday,Clear,14.86,1.41,21.01,31.83,0.92
Morning Peak,Monday,Cloudy,16.62,1.76,29.24,20.65,0.35
Morning Peak,Tuesday,Clear,43.85,1.65,72.41,64.83,0.75
